Project Name:,Walmart,,,,,,,,,,,
Author Name:,Maulik Nai,,,,,,,,,,,
Date:,,,,,,,,,,,,
TestCase ID,TestCase Name,TestCase Description,Precondition,Steps,Test Data,Expected Result,Actual Result,Status,Bug ID,Requirement ID,TestCase Type,Comments
TC01,Click Sign In / Create Account Button,"Verify that the user can click on the ""Sign In"" or ""Create Account"" button",User is on the homepage,"1. Navigate to homepage
2. Locate ""Sign In"" / ""Create Account"" button
3. Click button",,User is redirected to sign-in or account creation page,As expected,Pass,,,Functional,Basic navigation check
TC02,Create Account with Mobile Number,Verify that user can create an account using a valid mobile number,User is on create account page,"1. Enter valid mobile number
2. Fill other required fields
3. Click ""Continue""",Mobile: 9876543210,Account creation process initiates; OTP sent to mobile,As expected,Pass,,,Functional,
TC03,Create Account with Email,Verify account creation using a valid email,User is on create account page,"1. Enter valid email
2. Fill required fields
3. Click ""Continue""",Email: test@mail.com,OTP sent to entered email,As expected,Pass,,,Functional,
TC04,Invalid Mobile Number,Verify error message is shown for invalid mobile number,User is on create account page,"1. Enter invalid mobile number
2. Click ""Continue""",Mobile: 12345,"Error message: ""Enter a valid mobile number""",As expected,Pass,,,Negative,Validation check
TC05,Invalid Email,Verify error message for invalid email format,User is on create account page,"1. Enter invalid email
2. Click ""Continue""",Email: abc@com,"Error: ""Enter a valid email""",As expected,Pass,,,Negative,Validation check
TC06,Blank Fields Continue,Verify error when all fields are blank,User is on create account page,"1. Keep fields blank2. Click ""Continue""",,"Error: ""Fields cannot be empty""",As expected,Pass,,,Negative,
TC07,Special Characters in Name,Verify account creation with special characters in name,User is on create account page,"1. Enter special characters in name field
2. Fill other fields
3. Click ""Continue""",Name: @John#,"Error: ""Invalid characters""",As expected,Pass,,,Negative,Data validation
TC08,Alpha-numeric Name,Verify account creation with alpha-numeric name,User is on create account page,"1. Enter alpha-numeric name
2. Fill other fields
3. Click ""Continue""",Name: John123,Allowed or error as per spec,As expected,Pass,,,Edge Case,
TC09,Space in Valid Fields,Verify account creation when spaces are inserted in valid fields,User is on create account page,"1. Enter valid data with extra spaces
2. Click ""Continue""",Email: test @mail.com,Spaces trimmed or error shown,As expected,Pass,,,Functional,
TC10,Redirect after Continue,"Verify user is redirected to next page after clicking ""Continue""",User is on create account page,"1. Fill valid details
2. Click ""Continue""",Valid details,User is taken to OTP verification page,As expected,Pass,,,Functional,
TC11,All Fields Blank Create Account,Verify that account cannot be created if all fields are blank,User is on create account page,"1. Leave all fields empty
2. Click ""Create Account""",,"Error: ""All fields are required""",As expected,Pass,,,Negative,
TC12,Password 7 Characters,Verify error when password is shorter than 7 characters,On password creation page,"1. Enter short password
2. Submit form",Password: ab12,"Error: ""Password must be at least 7 characters""",As expected,Pass,,,Negative,Password validation
TC13,Password Without Uppercase,Verify validation error when password lacks uppercase letters,On password creation page,"1. Enter password without uppercase
2. Submit",Password: abc123@,"Error: ""Password must include uppercase letter""",As expected,Pass,,,Negative,
TC14,Numeric Only Password,Verify password with only numbers is rejected,On password creation page,"1. Enter numeric password
2. Submit",Password: 1234567,"Error: ""Password must include letters""",As expected,Pass,,,Negative,
TC15,Password Without Special Character,Verify error for password without special characters,On password creation page,"1. Enter password without special character
2. Submit",Password: Abc1234,"Error: ""Include at least one special character""",As expected,Pass,,,Negative,
TC16,Password With Special Characters,Verify that password with special characters is accepted,On password creation page,"1. Enter valid password
2. Submit",Password: Abc@1234,"Password is accepted, proceed to next step",As expected,Pass,,,Functional,
